User_Id,Movie_Id,Year,Name,Estimate_Score
913914,3444,2004.0,Family Guy: Freakin' Sweet Collection,4.508864106640489
913914,1409,2003.0,The O.C.: Season 1,4.496069756854386
913914,4383,2004.0,Farscape: The Peacekeeper Wars,4.483411186260379
913914,3928,2004.0,Nip/Tuck: Season 2,4.4710996297144
913914,2452,2001.0,Lord of the Rings: The Fellowship of the Ring,4.448554233188089
913914,1759,1990.0,Into the Woods,4.439888457768891
913914,1441,1998.0,Stargate SG-1: Season 2,4.433875026737191
913914,4427,2001.0,The West Wing: Season 3,4.426384878138185
913914,2057,2001.0,Buffy the Vampire Slayer: Season 6,4.423125524298561
913914,2102,1994.0,The Simpsons: Season 6,4.415692241038232
913914,1495,2001.0,Alias: Season 1,4.403154665526666
913914,1476,2004.0,Six Feet Under: Season 4,4.38633033975532
913914,1020,1989.0,The Simpsons: Season 1,4.376301145109789
913914,2195,2004.0,The Looney Tunes Golden Collection: Vol. 2,4.375835499118954
913914,4306,1999.0,The Sixth Sense,4.37482976772356
913914,2114,2002.0,Firefly,4.373137875730307
913914,3962,2003.0,Finding Nemo (Widescreen),4.36176049135045
913914,2162,2000.0,CSI: Season 1,4.355996409061152
913914,4033,2005.0,Alias: Season 4,4.350338136359625
913914,2548,2000.0,Gilmore Girls: Season 1,4.344452057933763
913914,4353,2002.0,Curb Your Enthusiasm: Season 3,4.337045240644226
913914,1947,2002.0,Gilmore Girls: Season 3,4.331588502320047
913914,872,1954.0,Seven Samurai,4.3117286613073285
913914,3046,1990.0,The Simpsons: Treehouse of Horror,4.309503943065362
913914,270,2001.0,Sex and the City: Season 4,4.308734876715483
913914,2862,1991.0,The Silence of the Lambs,4.307061684882813
913914,4098,2002.0,Angel: Season 4,4.279339669368892
913914,2172,1991.0,The Simpsons: Season 3,4.271724858759272
913914,476,2004.0,VeggieTales Classics: Where's God When I'm Scared?,4.258993633662121
913914,4207,1980.0,The Blues Brothers: Extended Cut,4.258567059402359
913914,3605,1939.0,The Wizard of Oz: Collector's Edition,4.248002883593606
913914,2782,1995.0,Braveheart,4.243861354452274
913914,3456,2004.0,Lost: Season 1,4.241747165837969
913914,2585,1994.0,Absolutely Fabulous: Series 2,4.2389879449831565
913914,33,2000.0,Aqua Teen Hunger Force: Vol. 1,4.235417740337374
913914,167,2004.0,The Chorus,4.234564448048047
913914,2290,1992.0,Aladdin: Platinum Edition,4.232252346190882
913914,1795,1978.0,MASH: Season 7,4.224312812268063
913914,1256,1994.0,The Best of Friends: Vol. 4,4.221068359683388
913914,2803,1995.0,Pride and Prejudice,4.215110970347135
913914,1625,1986.0,Aliens: Collector's Edition,4.205424376636521
913914,1357,2003.0,Stargate SG-1: Season 7,4.200425965539607
913914,2613,1990.0,Northern Exposure: Season 1,4.199377938156598
913914,3668,2000.0,Farscape: Season 2,4.1981798790741855
913914,241,1959.0,North by Northwest,4.190697311422136
913914,240,1942.0,Woman of the Year,4.182047074947335
913914,3958,2003.0,Monk: Season 2,4.179568158290497
913914,3864,2005.0,Batman Begins,4.177890276686116
913914,1618,1984.0,Nausicaa of the Valley of the Wind,4.176545324879587
913914,3150,2000.0,Monty Python: The Life of Python,4.165189026792856
913914,1300,1973.0,Return of the Dragon,4.159621133073147
913914,1905,2003.0,Pirates of the Caribbean: The Curse of the Black Pearl,4.157916309511535
913914,4145,1999.0,Law & Order: Special Victims Unit: The First Year,4.1577206351124
913914,345,1998.0,Star Trek: Voyager: Season 5,4.156647286727639
913914,1513,1962.0,The Twilight Zone: Vol. 42,4.155056449980761
913914,3938,2004.0,Shrek 2,4.150459592673318
913914,2942,1999.0,Friends: Season 6,4.149748227178778
913914,886,2004.0,Ray,4.148914637006587
913914,4360,1996.0,Mr. Show: Season 2,4.145266023724762
913914,2938,1994.0,The Best of Friends: Season 1,4.144095010600034
913914,3269,1962.0,The Longest Day,4.140401482809761
913914,3593,1988.0,My Neighbor Totoro,4.138238501939013
913914,2040,1991.0,Star Trek: The Next Generation: Season 5,4.136794560764454
913914,359,2003.0,Absolutely Fabulous: Series 5,4.131630056448078
913914,3446,2002.0,Spirited Away,4.125567361426976
913914,3078,1994.0,The Best of Friends: Season 2,4.1203043199866825
913914,1139,2003.0,Wolf's Rain,4.117170587892171
913914,2743,2002.0,The Pianist,4.11272207390857
913914,4115,1999.0,The Simpsons: Bart Wars,4.111643716631381
913914,223,2003.0,Chappelle's Show: Season 1,4.10808479935552
913914,774,2003.0,Foyle's War: Set 2,4.1067868285829165
913914,2441,2001.0,Smallville: Season 1,4.104421840346525
913914,1741,1999.0,Cowboy Bebop Remix,4.098527453009435
913914,2471,1983.0,V: The Complete TV Series,4.097367808629882
913914,2448,1991.0,Prime Suspect 1,4.093884628302967
913914,3079,1994.0,The Lion King: Special Edition,4.088072183876012
913914,1882,1954.0,I Love Lucy: Season 4,4.086249330717384
913914,2430,1979.0,Alien: Collector's Edition,4.083440119677626
913914,283,1996.0,If These Walls Could Talk,4.0821508866921015
913914,4078,2003.0,Larry the Cable Guy: Git-R-Done,4.081752640757944
913914,3239,2001.0,The Princess Diaries (Fullscreen),4.079903360368121
913914,1652,1961.0,The Twilight Zone: Vol. 37,4.077952747874434
913914,2795,2001.0,The X-Files: Season 9,4.075084705490447
913914,4238,2000.0,Inu-Yasha,4.0743176202722875
913914,2727,1985.0,The Golden Girls: Season 1,4.069113114459875
913914,2539,1962.0,The Twilight Zone: Vol. 3,4.0690711227285306
913914,2568,2004.0,Stargate SG-1: Season 8,4.06826322945495
913914,430,2002.0,Chobits,4.0643625307863855
913914,3513,1963.0,Lilies of the Field,4.064292129084385
913914,2360,1952.0,Singin' in the Rain,4.063017558724518
913914,577,1961.0,The Twilight Zone: Vol. 36,4.062201970664512
913914,3226,1938.0,Bringing Up Baby,4.061921557713562
913914,1089,2000.0,The Land Before Time VII: Stone of Cold Fire,4.060105353908204
913914,3608,1998.0,From the Earth to the Moon: The Signature Edition,4.057672004788617
913914,908,1981.0,Sense and Sensibility,4.0543071541878355
913914,3769,2004.0,Wonderfalls: The Complete Series,4.054105222805993
913914,1664,1998.0,The King of Queens: Season 2,4.053456792439194
913914,1110,2003.0,Secondhand Lions,4.052743817072444
913914,2161,1993.0,Six Degrees of Separation,4.050427699311536
913914,2532,1999.0,Futurama: Vol. 1,4.049761737941942
913914,473,1997.0,Princess Mononoke,4.047857851023721
913914,2212,1993.0,The Secret Garden,4.04750158362144
913914,1917,1985.0,28 Up,4.0462924312820885
913914,3777,1990.0,In Living Color: Season 2,4.045654605129584
913914,3453,1934.0,The Man Who Knew Too Much,4.044051038204434
913914,2371,1955.0,To Catch a Thief,4.043687188977061
913914,3798,1973.0,The Sting,4.040934672696516
913914,1877,1995.0,Friends: Season 2,4.0383361356264516
913914,3523,1992.0,Star Trek: The Next Generation: Season 6,4.03262566270217
913914,1395,1963.0,Charade,4.032085071135858
913914,3612,1988.0,Chocolat,4.029402197041452
