Cust_Id,Rating,Timestamp,Movie_Id
2111071,2,2004-12-16,789
1505732,4,2004-09-24,11090
1160362,3,2005-09-19,13728
860736,2,2005-07-14,11663
941624,5,2005-09-26,2162
541822,2,2005-10-10,17293
2643787,4,2004-01-04,11279
1573062,1,2005-07-24,334
434796,3,2004-08-16,14718
203299,4,2005-04-04,10451
1066926,2,2005-05-24,12471
1567461,4,2002-04-09,7624
1961584,4,2005-07-03,3610
530000,4,2005-03-13,3267
1789349,4,2005-09-06,4080
982661,4,2005-06-06,17169
1951741,3,2002-11-19,16390
2505740,5,2005-06-14,14550
1040284,3,2003-07-04,4801
1634461,3,2003-07-25,10730
2187083,4,2005-04-29,2174
795592,5,2003-08-05,3648
1442164,2,2004-03-11,2252
1796588,5,2005-03-18,11084
2570514,4,2000-12-20,189
1266864,5,2003-12-01,11443
1755559,3,2004-03-01,10168
2157920,4,2005-10-03,1983
2480035,4,2005-10-17,3106
3798,3,2005-10-03,4570
1006406,2,2003-11-08,6972
2078245,3,2005-01-02,7331
1739082,2,2004-02-28,1307
1578338,3,2004-12-05,5621
976103,4,2004-06-09,2862
2237950,3,2004-04-26,16325
1719610,1,2004-02-29,7875
771079,4,2005-07-08,10947
680098,4,2004-08-24,2779
1209911,4,2004-07-25,13359
177755,5,2005-01-25,7511
940806,4,2004-03-17,13098
1414980,3,2004-10-22,15440
1312635,4,2004-09-08,15062
257966,4,2005-08-24,10241
1667739,5,2003-12-28,17004
1363624,3,2005-05-14,14909
2264371,2,2001-07-10,16169
598038,3,2003-10-27,14928
806450,5,2005-06-10,2290
2544532,4,2004-12-16,798
749189,3,2004-12-09,11677
2402822,2,2005-10-16,16415
1944684,3,2005-07-15,14527
1015237,3,2005-03-27,6510
2531111,3,2001-02-16,3128
2300191,2,2005-10-17,290
942771,2,2005-04-30,16948
2116475,4,2004-04-15,2800
1899613,4,2004-11-16,6687
1129737,5,2005-05-15,11234
732616,4,2003-07-02,13840
2340450,4,2004-03-29,15373
1863477,5,2005-05-26,5137
2155086,3,2005-05-19,3256
1274599,1,2004-12-17,28
833271,3,2005-05-03,2443
2635287,5,2005-10-26,15409
723011,4,2005-05-09,7233
185867,4,2004-12-06,16465
2031413,1,2004-08-23,4402
1798607,4,2005-05-26,7742
1669420,4,2005-05-02,10378
1445547,4,2005-05-21,14776
1565189,2,2005-02-20,14358
517619,5,2004-07-21,14240
53389,2,2005-01-31,8339
46036,5,2005-03-24,5732
706894,5,2005-06-08,197
1467844,5,2005-05-21,16994
1676207,3,2005-02-25,10773
2588704,3,2004-09-07,8387
522964,4,2005-03-06,2171
860105,5,2004-09-21,7234
2618956,3,2005-05-05,16948
726339,2,2003-01-20,17088
1916185,4,2005-11-10,16668
508852,1,2004-03-22,4841
1054626,1,2002-05-28,9003
761020,4,2004-01-31,9818
602817,4,2004-10-30,14660
1182897,4,2001-03-02,6972
1748002,4,2004-05-29,1110
1715533,4,2002-10-16,6720
2082865,5,2005-04-15,5360
1752638,3,2004-10-04,5084
727242,1,2005-12-27,3347
795448,3,2005-05-04,7397
515261,2,2004-06-15,312
1895660,5,2004-07-07,6860
2079404,3,2005-12-25,5621
270702,5,2004-07-17,8784
1466743,3,2004-11-04,16788
2595156,3,2003-12-04,14149
2255059,4,2005-04-03,482
57344,3,2004-11-08,9645
2213534,2,2003-08-05,11999
1401815,4,2005-10-10,12476
1882563,5,2005-10-27,4870
2052767,3,2004-06-29,14484
1440291,4,2001-02-18,6692
305734,4,2004-02-06,4393
575430,4,2002-06-04,13728
1232353,4,2004-08-24,8243
1703879,4,2004-06-29,8915
831103,5,2002-02-12,6428
313419,4,2003-06-16,6166
923477,1,2005-04-12,4661
6629,3,2002-03-11,13195
2032589,5,2005-06-13,9628
3604,4,2005-05-10,3787
1124126,1,2005-08-01,6556
2161315,4,2004-04-15,13418
1284218,4,2004-08-23,3756
325073,4,2001-04-11,17319
1141553,4,2005-02-24,2372
102792,5,2004-08-21,15064
581930,4,2005-03-07,6122
967190,2,2002-05-03,14590
2438708,3,2005-02-16,12778
2394481,3,2005-09-11,295
1414878,5,2003-12-18,17627
2124083,4,2005-09-18,11812
940162,5,2005-05-31,8596
1510669,3,2005-08-30,16008
1558269,3,2004-02-28,14606
1914969,4,2004-06-22,2851
1309932,5,2004-02-25,9741
122057,5,2005-12-23,11789
2431350,2,2001-11-11,12092
559119,3,2005-02-28,5033
2295156,5,2004-05-11,11673
2106009,5,2000-08-21,15422
1726499,4,2004-07-17,331
1669171,3,2005-01-19,2874
1595693,2,2003-01-03,5762
2005487,3,2004-11-14,7240
121921,4,2005-10-27,4506
519180,4,2005-06-18,5997
639194,4,2005-11-22,17023
617493,4,2004-05-03,15296
118204,3,2001-07-31,13865
1325678,5,2003-11-11,9110
123105,4,2005-05-05,11745
2139885,4,2004-10-04,10928
1423310,3,2002-12-02,8370
666480,4,2005-05-16,14644
607063,3,2005-02-21,17431
1476102,5,2003-10-05,14459
135594,3,2002-04-04,2209
523462,4,2004-01-26,1590
268159,3,2005-10-16,4355
860188,3,2004-11-30,13052
1922797,3,2005-03-15,13195
2547993,4,2002-06-13,17622
147512,3,2004-04-22,5939
268049,4,2005-10-20,11077
158086,2,2002-02-14,6287
355487,5,2004-06-19,4520
1172685,4,2003-10-21,8669
319647,3,2005-01-26,8806
1184975,3,2005-07-12,9048
1423956,4,2004-05-25,13392
543244,3,2004-08-26,13981
1470317,3,2004-08-12,15058
1702681,5,2004-09-12,2186
820823,2,2005-06-24,15205
1029561,3,2002-05-23,9234
